participant,chain,generation,trial,target,ent_type,code_string,markerPres
D_52,chain5,5,19,to preach,act,1hShakeFingerInAir,y
D_52,chain5,5,21,bible,obj,"2hBook,2hCross,2hPray,2hBook",n
D_52,chain5,5,23,vicar,person,"1hPointAtSelf,2hPray",y
D_52,chain5,5,25,to take a photo,act,1hPressButton,n
D_52,chain5,5,27,to give a haircut,act,"2hGive,2hCutHair",n
D_52,chain5,5,29,to sing,act,1hSingToAudience,n
D_52,chain5,5,31,concert hall,loc,2hPlayViolin,n
D_52,chain5,5,33,microphone,obj,"1hMicrophone,1hPointAtObj",y
D_52,chain5,5,35,darkroom,loc,1hLookInDistance,n
D_52,chain5,5,37,hairdresser,person,"1hPointAtSelf,2hCutHair",y
D_52,chain5,5,39,prison,loc,"2hRoom,1hPrisonBars",y
D_52,chain5,5,41,handcuffs,obj,"2hHandcuffs,1hPointAtObj",y
D_52,chain5,5,43,to cook,act,"1hChopIngredients,2hAddFood",n
D_52,chain5,5,45,camera,obj,"2hCamera,1hPressButton,1hPointAtObj",y
D_52,chain5,5,47,church,loc,"1hOpenDoor,2hPray",n
