participant,chain,generation,trial,target,ent_type,code_string,markerPres
C_18,chain1,4,29,to make an arrest,act,"2hGunOut,2hHandcuffs",n
C_18,chain1,4,31,bible,obj,"1hPointAtObj,2hReadLyrics,1hShakeFingerInAir",y
C_18,chain1,4,33,vicar,person,"2hPointAtSelf,2hReadLyrics,1hShakeFingerInAir",y
C_18,chain1,4,35,to take a photo,act,"2hCamera,1hPressButton",n
C_18,chain1,4,37,police officer,person,"2hPointAtSelf,2hGunOut",y
C_18,chain1,4,39,frying pan,obj,"2hHoldAndShakeHandleOfPan,1hPointAtObj,2hHoldAndShakeHandleOfPan",y
C_18,chain1,4,41,chef,person,"2hPointAtSelf,2hHoldAndShakeHandleOfPan",y
C_18,chain1,4,43,camera,obj,"2hCamera,1hPressButton,1hPointAtObj",y
C_18,chain1,4,45,singer,person,"2hPointAtSelf,2hSingToAudience",y
C_18,chain1,4,47,hair salon,loc,"2hRoom,2hCutHair",y
C_49,chain4,5,0,to make an arrest,act,"1hPointAtSelf,2hHandcuffs",n
C_49,chain4,5,2,chef,person,"2hChefHat,2hChopIngredients",n
C_49,chain4,5,4,frying pan,obj,"2hHoldAndShakeHandleOfPan,1hAddFood,2hHoldAndShakeHandleOfPan",n
C_49,chain4,5,6,vicar,person,"2hChefHat,2hCross,2hSingToAudience",n
C_49,chain4,5,8,handcuffs,obj,2hHandcuffs,n
C_49,chain4,5,10,to preach,act,"2hChefHat,2hBook",n
C_49,chain4,5,12,to take a photo,act,"2hCamera,2hPressButton",n
C_49,chain4,5,14,concert hall,loc,"2hThreeDimensionalCircle,1hMicrophone",y
C_49,chain4,5,16,hair salon,loc,"1hPointAtSelf,1hHairOnHead,2hRunning,1hHairOnHead1hCutHair",n
C_49,chain4,5,18,camera,obj,"2hCamera,2hPressButton,2hGive,2hPressButton,2hGive",n
C_49,chain4,5,20,prison,loc,"2hThreeDimensionalCircle,2hHandcuffs",y
C_49,chain4,5,22,hairdresser,person,"1hHairOnHead,2hCombHair",n
C_49,chain4,5,24,to cook,act,"1hPointAtSelf,1hHoldAndShakeHandleOfPan,2hChopIngredients,2hHoldAndShakeHandleOfPan",n
C_49,chain4,5,26,scissors,obj,1hScissors,n
C_49,chain4,5,28,singer,person,1hMicrophone,n
C_49,chain4,5,30,to sing,act,1hMicrophone,n
C_49,chain4,5,32,photographer,person,"2hCamera,1hPressButton,2hGive",n
C_49,chain4,5,34,darkroom,loc,"2hThreeDimensionalCircle,2hCamera,2hPressButton",y
C_49,chain4,5,36,restaurant,loc,"2hHoldAndShakeHandleOfPan,2hThreeDimensionalCircle ",y
C_49,chain4,5,38,to give a haircut,act,"1hPointAtSelf,1hCutHair",n
C_49,chain4,5,40,police officer,person,"2hChefHat,1hShakeFingerInAir",n
C_49,chain4,5,42,church,loc,"2hCross,2hChurch",n
C_49,chain4,5,44,bible,obj,"2hCross,2hBook,2hCross,2hBook",n
C_49,chain4,5,46,microphone,obj,"1hPointAtObj,1hMicrophone",n
